query_name,resolved_name,system_name,n_stars_in_system,n_planets_in_system,match_method,match_confidence,note,planet_aliases,host_resolved,host_aliases,host_id_gaia_dr3,host_id_tic,host_id_gaia_dr2,host_id_toi,host_id_k2,host_id_epic,host_id_twomass,host_id_wise,host_id_gj,host_id_hip,host_id_koi,host_id_kepler,host_id_kic,host_id_hd
TRAPPIST-1 e,TRAPPIST-1 e,TRAPPIST-1,1,7,alias_service,high,,Gaia DR3 2635476908753563008 e|K2-112 e|TRAPPIST-1 e|EPIC 246199087 e|2MASS J23062928-0502285 e|WISE J230630.02-050234.1 e|TIC 278892590 e|Gaia DR2 2635476908753563008 e,TRAPPIST-1,Gaia DR3 2635476908753563008|TIC 278892590|Gaia DR2 2635476908753563008|TOI-6838|K2-112|TRAPPIST-1|EPIC 246199087|2MASS J23062928-0502285|WISE J230630.02-050234.1,2635476908753563008,278892590,2635476908753563008,6838,112,246199087,J23062928-0502285,J230630.02-050234.1,,,,,,
TRAPPIST-1 f,TRAPPIST-1 f,TRAPPIST-1,1,7,alias_service,high,,Gaia DR3 2635476908753563008 f|K2-112 f|TRAPPIST-1 f|EPIC 246199087 f|2MASS J23062928-0502285 f|WISE J230630.02-050234.1 f|TIC 278892590 f|Gaia DR2 2635476908753563008 f,TRAPPIST-1,Gaia DR3 2635476908753563008|TIC 278892590|Gaia DR2 2635476908753563008|TOI-6838|K2-112|TRAPPIST-1|EPIC 246199087|2MASS J23062928-0502285|WISE J230630.02-050234.1,2635476908753563008,278892590,2635476908753563008,6838,112,246199087,J23062928-0502285,J230630.02-050234.1,,,,,,
TRAPPIST-1 g,TRAPPIST-1 g,TRAPPIST-1,1,7,alias_service,high,,Gaia DR3 2635476908753563008 g|K2-112 g|TRAPPIST-1 g|EPIC 246199087 g|2MASS J23062928-0502285 g|WISE J230630.02-050234.1 g|TIC 278892590 g|Gaia DR2 2635476908753563008 g,TRAPPIST-1,Gaia DR3 2635476908753563008|TIC 278892590|Gaia DR2 2635476908753563008|TOI-6838|K2-112|TRAPPIST-1|EPIC 246199087|2MASS J23062928-0502285|WISE J230630.02-050234.1,2635476908753563008,278892590,2635476908753563008,6838,112,246199087,J23062928-0502285,J230630.02-050234.1,,,,,,
GJ 1061 d,GJ 1061 d,GJ 1061,1,3,alias_service,high,,Gaia DR3 4848140361962951552 d|Gaia DR2 4848140361962951552 d|GJ 1061 d|LHS 1565 d|L 372-58 d|LTT 1702 d|LP 995-46 d|TIC 79611981 d|2MASS J03355969-4430453 d|WISE J033600.43-443049.7 d,GJ 1061,Gaia DR3 4848140361962951552|Gaia DR2 4848140361962951552|GJ 1061|LHS 1565|L 372-58|LTT 1702|LP 995-46|TIC 79611981|2MASS J03355969-4430453|WISE J033600.43-443049.7,4848140361962951552,79611981,4848140361962951552,,,,J03355969-4430453,J033600.43-443049.7,1061,,,,,
Proxima Cen b,Proxima Cen b,alf Cen,3,5,alias_service,high,,Gaia DR3 5853498713190525696 b|GJ 551 b|LHS 49 b|V0645 Cen b|alf Cen C b|HIP 70890 b|IRAS 14260-6227 b|Proxima b|Proxima Cen b|Proxima Centauri b|TYC 9010-04949-1 b|WDS J14396-6050 C b|2MASS J14294291-6240465 b|TIC 388857263 b|Gaia DR2 5853498713160606720 b,Proxima Cen,Gaia DR3 5853498713190525696|TIC 388857263|Gaia DR2 5853498713160606720|GJ 551|LHS 49|V0645 Cen|alf Cen C|HIP 70890|IRAS 14260-6227|Proxima|Proxima Cen|Proxima Centauri|TYC 9010-04949-1|WDS J14396-6050 C|2MASS J14294291-6240465,5853498713190525696,388857263,5853498713160606720,,,,J14294291-6240465,,551,70890,,,,
GJ 1002 b,GJ 1002 b,GJ 1002,1,2,alias_service,high,,Gaia DR3 2441630500517079808 b|GJ 1002 b|LHS 2 b|EPIC 60018069 b|2MASS J00064325-0732147 b|TIC 176287658 b|Gaia DR2 2441630500517079808 b,GJ 1002,Gaia DR3 2441630500517079808|TIC 176287658|Gaia DR2 2441630500517079808|GJ 1002|LHS 2|EPIC 60018069|2MASS J00064325-0732147,2441630500517079808,176287658,2441630500517079808,,,60018069,J00064325-0732147,,1002,,,,,
Teegarden's Star c,Teegarden's Star c,Teegarden's Star,1,3,alias_service,high,,Gaia DR3 35227046884571776 c|LSPM J0253+1652 c|Teegarden's Star c|2MASS J02530084+1652532 c|TIC 257870150 c|Gaia DR2 35227046884571776 c,Teegarden's Star,Gaia DR3 35227046884571776|TIC 257870150|Gaia DR2 35227046884571776|LSPM J0253+1652|Teegarden's Star|2MASS J02530084+1652532,35227046884571776,257870150,35227046884571776,,,,J02530084+1652532,,,,,,,
Wolf 1069 b,Wolf 1069 b,Wolf 1069,1,1,alias_service,high,,Gaia DR3 2188318517720321664 b|Wolf 1069 b|GJ 1253 b|TIC 352617553 b|2MASS J20260528+5834224 b|Gaia DR2 2188318517720321664 b,Wolf 1069,Gaia DR3 2188318517720321664|Wolf 1069|GJ 1253|TIC 352617553|2MASS J20260528+5834224|Gaia DR2 2188318517720321664,2188318517720321664,352617553,2188318517720321664,,,,J20260528+5834224,,1253,,,,,
GJ 1002 c,GJ 1002 c,GJ 1002,1,2,alias_service,high,,Gaia DR3 2441630500517079808 c|GJ 1002 c|LHS 2 c|EPIC 60018069 c|2MASS J00064325-0732147 c|TIC 176287658 c|Gaia DR2 2441630500517079808 c,GJ 1002,Gaia DR3 2441630500517079808|TIC 176287658|Gaia DR2 2441630500517079808|GJ 1002|LHS 2|EPIC 60018069|2MASS J00064325-0732147,2441630500517079808,176287658,2441630500517079808,,,60018069,J00064325-0732147,,1002,,,,,
Kepler-1649 c,Kepler-1649 c,Kepler-1649,1,2,alias_service,high,,Gaia DR3 2125699062780742016 c|Gaia DR2 2125699062780742016 c|KOI-3138 c|K03138.02|KOI-3138.02|Kepler-1649 c|KIC 6444896 c|TIC 137558813 c|LSPM J1930+4149 c|2MASS J19300092+4149496 c|WISE J193000.77+414948.5 c,Kepler-1649,Gaia DR3 2125699062780742016|KOI-3138|Kepler-1649|KIC 6444896|TIC 137558813|LSPM J1930+4149|2MASS J19300092+4149496|WISE J193000.77+414948.5|Gaia DR2 2125699062780742016,2125699062780742016,137558813,2125699062780742016,,,,J19300092+4149496,J193000.77+414948.5,,,3138,1649,6444896,
