pl_name,hostname,is_control,radius_earth,radius_error_plus,radius_error_minus,catalogue_mass_value_earth,catalogue_mass_class,catalogue_mass_accepted_as_independent,mass_use_reason,hz_conservative_probability,earth2_rank,label,independent_mass_used,covariance_status,mass_radius_correlation,p_rocky_rogers_radius_only,wolfgang_mass_location_earth,wolfgang_intrinsic_scatter_earth,wolfgang_prediction_is_dynamical_mass,zeng_supported_draw_fraction,p_rocky_zeng_fe_si_envelope,p_requires_volatiles_zeng,p_consistent_with_terrestrial_composition_zeng,p_too_dense_for_zeng_cmf_0_to_0p4,otegi_supported_draw_fraction,p_rocky_otegi_equal_prior,p_rocky_otegi_scatter_0p10dex,p_rocky_otegi_scatter_0p30dex,p_rocky_model_min,p_rocky_model_max,p_rocky_model_range,n_rocky_models_supported,composition_evidence_scope
Proxima Cen b,Proxima Cen,False,1.02,,,1.055,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,1,1,MODEL-INFERRED,False,unavailable_assumed_zero,,0.9478464369,2.770409625,1.9,False,0,,,,,0,,,,0.9478464369,0.9478464369,,1,radius_only_baseline
GJ 1061 d,GJ 1061,False,1.16,,,1.67,measured,True,catalogue class is an independent measured mass,0.99525,2,MODEL-INFERRED,True,unavailable_assumed_zero,,0.9002495109,3.274606731,1.9,False,1,0.937,0.063,0.7465,0.1905,1,0.5562038893,0.6314302847,0.5281783101,0.5562038893,0.937,0.3807961107,3,independent_mass_and_radius
GJ 1002 b,GJ 1002,False,1.03,,,1.08,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,1,3,MODEL-INFERRED,False,unavailable_assumed_zero,,0.9453186828,2.805770575,1.9,False,0,,,,,0,,,,0.9453186828,0.9453186828,,1,radius_only_baseline
Earth,Sun,True,1,,,1,measured,True,catalogue class is an independent measured mass,1,,MODEL-INFERRED,True,unavailable_assumed_zero,,0.9525741268,2.7,1.9,False,1,1,0,1,0,1,0.6583437011,0.8464534353,0.5802325682,0.6583437011,1,0.3416562989,3,independent_mass_and_radius
Wolf 1069 b,Wolf 1069,False,1.08,,,1.26,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,1,4,MODEL-INFERRED,False,unavailable_assumed_zero,,0.9308615797,2.984108751,1.9,False,0,,,,,0,,,,0.9308615797,0.9308615797,,1,radius_only_baseline
Teegarden's Star c,Teegarden's Star,False,1.02,,,1.05,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,1,5,MODEL-INFERRED,False,unavailable_assumed_zero,,0.9478464369,2.770409625,1.9,False,0,,,,,0,,,,0.9478464369,0.9478464369,,1,radius_only_baseline
Kepler-1649 c,Kepler-1649,False,1.06,0.15,-0.1,1.2,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0.95975,6,MODEL-INFERRED,False,unavailable_assumed_zero,,0.9184727982,2.91246952,1.9,False,0,,,,,0,,,,0.9184727982,0.9184727982,,1,radius_only_baseline
GJ 1002 c,GJ 1002,False,1.1,,,1.36,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,0.9555,7,MODEL-INFERRED,False,unavailable_assumed_zero,,0.92414182,3.056147105,1.9,False,0,,,,,0,,,,0.92414182,0.92414182,,1,radius_only_baseline
Mars,Sun,True,0.532,,,0.1074,measured,True,catalogue class is an independent measured mass,1,,MODEL-INFERRED,True,unavailable_assumed_zero,,0.9952270199,1.188636018,1.9,False,0,,,,,0,,,,0.9952270199,0.9952270199,,1,independent_mass_and_radius
Kepler-1229 b,Kepler-1229,False,1.4,0.11,-0.13,2.54,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,1,8,MODEL-INFERRED,False,unavailable_assumed_zero,,0.7227597426,4.181481797,1.9,False,0,,,,,0,,,,0.7227597426,0.7227597426,,1,radius_only_baseline
GJ 667 C f,GJ 667 C,False,1.45,,,2.7,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,0.99525,9,MODEL-INFERRED,False,unavailable_assumed_zero,,0.6791786992,4.376653522,1.9,False,0,,,,,0,,,,0.6791786992,0.6791786992,,1,radius_only_baseline
TOI-700 d,TOI-700,False,1.073,0.059,-0.054,1.25,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0.592,10,MODEL-INFERRED,False,unavailable_assumed_zero,,0.9301641549,2.958989355,1.9,False,0,,,,,0,,,,0.9301641549,0.9301641549,,1,radius_only_baseline
Kepler-442 b,Kepler-442,False,1.34,0.11,-0.18,2.36,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0.72175,11,MODEL-INFERRED,False,unavailable_assumed_zero,,0.7877446359,3.950026434,1.9,False,0,,,,,0,,,,0.7877446359,0.7877446359,,1,radius_only_baseline
Kepler-186 f,Kepler-186,False,1.17,0.08,-0.08,1.71,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0.64525,12,MODEL-INFERRED,False,unavailable_assumed_zero,,0.8894838552,3.311352269,1.9,False,0,,,,,0,,,,0.8894838552,0.8894838552,,1,radius_only_baseline
