label,pl_name,hostname,earth2_rank,planet_radius_earth,planet_mass_earth_used,planet_mass_basis,stellar_mass_solar,stellar_age_gyr,semimajor_axis_au,bolometric_insolation_earth,bolometric_flux_w_m2,xuv_history_status,muscles_current_xuv_flux_w_m2,generic_current_xuv_flux_min_w_m2,generic_current_xuv_flux_median_w_m2,generic_current_xuv_flux_max_w_m2,generic_xuv_dose_min_j_m2,generic_xuv_dose_median_j_m2,generic_xuv_dose_max_j_m2,escape_status,current_mass_loss_min_kg_s,current_mass_loss_median_kg_s,current_mass_loss_max_kg_s,integrated_lost_min_earth_masses,integrated_lost_median_earth_masses,integrated_lost_max_earth_masses
SCENARIO,Proxima Cen b,Proxima Cen,1,1.02,1.055,minimum_mass_scenario,0.1221,,0.04848,0.641,872.2728,undetermined_missing_age_mass_or_bolometric_flux,0.3895342536,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,GJ 1061 d,GJ 1061,2,1.16,1.67,measured_mass,0.12,7,0.054,0.6,816.48,bounded_age_activity_scenarios,,0.004676002688,0.0745546888,1.04976,9.451811861e+15,6.593034953e+16,4.276105914e+17,energy_limited_scenario_ensemble,472.3086848,27501.9156,1095003.07,0.0001598579506,0.004072314914,0.07468644077
SCENARIO,GJ 1002 b,GJ 1002,3,1.03,1.08,minimum_mass_scenario,0.12,,0.0457,0.67,911.736,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,Wolf 1069 b,Wolf 1069,4,1.08,1.26,minimum_mass_scenario,0.167,,0.0672,0.652,887.2416,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,Teegarden's Star c,Teegarden's Star,5,1.02,1.05,minimum_mass_scenario,0.097,8,0.0455,0.35,476.28,bounded_age_activity_scenarios,,0.0022325625,0.03690299896,0.535815,5.591421064e+15,3.972300783e+16,2.675039315e+17,energy_limited_scenario_ensemble,245.8419692,14853.52966,610930.1488,0.0001030961843,0.002677183416,0.05107105778
SCENARIO,Kepler-1649 c,Kepler-1649,6,1.06,1.2,mass_radius_prediction_scenario,0.1977,,0.0649,0.75,1020.6,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,GJ 1002 c,GJ 1002,7,1.1,1.36,minimum_mass_scenario,0.12,,0.0738,0.257,349.7256,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,Kepler-1229 b,Kepler-1229,8,1.4,2.54,mass_radius_prediction_scenario,0.54,3.72,0.3006,0.524,713.0592,bounded_age_activity_scenarios,,0.01054113654,0.1416960591,1.725143226,7.5837651e+15,4.779135768e+16,2.454092783e+17,energy_limited_scenario_ensemble,1181.463675,57754.08671,1971316.757,0.0001423265102,0.003261687212,0.0469559064
SCENARIO,GJ 667 C f,GJ 667 C,9,1.45,2.7,minimum_mass_scenario,0.33,2,0.156,0.5633,766.53864,bounded_age_activity_scenarios,0.0507240853,0.028745199,0.3267887952,2.29961592,7.184526271e+15,3.944743837e+16,1.444150151e+17,energy_limited_scenario_ensemble,3407.951016,141065.6583,2789918.426,0.0001426245066,0.002851287056,0.02933705683
SCENARIO,TOI-700 d,TOI-700,10,1.073,1.25,mass_radius_prediction_scenario,0.415,1.5,0.1633,0.85,1156.68,bounded_age_activity_scenarios,,0.06678095094,0.7024589944,3.47004,9.994198364e+15,5.026799505e+16,1.631641401e+17,energy_limited_scenario_ensemble,6927.073196,265292.9546,3682848.357,0.0001735853767,0.002833935018,0.02899626539
