label,pl_name,earth2_rank,legacy_rank_min,legacy_rank_max,legacy_rank_span,climate_status,hz_model_probability_min,hz_model_probability_max,hz_model_probability_range,p_rocky_model_min,p_rocky_model_max,p_rocky_model_range,index,hwo_accessibility_min,hwo_accessibility_max,hwo_accessibility_range,hydrogen_to_earth_air_signal_ratio
MODEL-SENSITIVITY,Proxima Cen b,1,1,2,1,undetermined,,,,0.9478464369,0.9478464369,,656,0,0,0,12.59565217
MODEL-SENSITIVITY,GJ 1061 d,2,1,2,1,undetermined,,,,0.5562038893,0.937,0.3807961107,47,0,0,0,12.59565217
MODEL-SENSITIVITY,GJ 1002 b,3,3,9,6,undetermined,,,,0.9453186828,0.9453186828,,43,0,0,0,12.59565217
MODEL-SENSITIVITY,Wolf 1069 b,4,4,12,8,undetermined,,,,0.9308615797,0.9308615797,,,,,,12.59565217
MODEL-SENSITIVITY,Teegarden's Star c,5,5,10,5,undetermined,,,,0.9478464369,0.9478464369,,,,,,12.59565217
MODEL-SENSITIVITY,Kepler-1649 c,6,5,136,131,undetermined,,,,0.9184727982,0.9184727982,,,,,,12.59565217
MODEL-SENSITIVITY,GJ 1002 c,7,7,26,19,undetermined,,,,0.92414182,0.92414182,,44,0,0,0,12.59565217
MODEL-SENSITIVITY,Kepler-1229 b,8,8,166,158,undetermined,,,,0.7227597426,0.7227597426,,,,,,12.59565217
MODEL-SENSITIVITY,GJ 667 C f,9,9,103,94,undetermined,,,,0.6791786992,0.6791786992,,135,0,0,0,
MODEL-SENSITIVITY,TOI-700 d,10,7,99,92,undetermined,,,,0.9301641549,0.9301641549,,,,,,12.59565217
MODEL-SENSITIVITY,Kepler-442 b,11,11,115,104,undetermined,,,,0.7877446359,0.7877446359,,,,,,12.59565217
MODEL-SENSITIVITY,Kepler-186 f,12,12,311,299,undetermined,,,,0.8894838552,0.8894838552,,,,,,12.59565217
MODEL-SENSITIVITY,GJ 667 C e,13,14,391,377,undetermined,,,,0.6791786992,0.6791786992,,134,0,0.00390625,0.00390625,
MODEL-SENSITIVITY,TOI-715 b,14,14,448,434,undetermined,,,,0.5614749951,0.5614749951,,,,,,12.59565217
MODEL-SENSITIVITY,LHS 1140 b,15,3,16,13,undetermined,,,,0.18725,0.560853311,0.373603311,,,,,12.59565217
MODEL-SENSITIVITY,Gl 725 B c,16,16,376,360,undetermined,,,,0.4255574832,0.4255574832,,,,,,12.59565217
MODEL-SENSITIVITY,Kepler-62 f,17,10,601,591,undetermined,,,,0.7174977482,0.7174977482,,,,,,
MODEL-SENSITIVITY,Kepler-1652 b,18,18,748,730,undetermined,,,,0.4935848434,0.4935848434,,,,,,12.59565217
MODEL-SENSITIVITY,GJ 3378 b,19,13,222,209,undetermined,,,,0.8021838886,0.8021838886,,,,,,12.59565217
MODEL-SENSITIVITY,Kepler-1544 b,20,20,578,558,undetermined,,,,0.2872714789,0.2872714789,,,,,,12.59565217
MODEL-SENSITIVITY,GJ 251 c,21,21,1098,1077,undetermined,,,,0.2689414214,0.2689414214,,70,0,0.017578125,0.017578125,12.59565217
MODEL-SENSITIVITY,Kepler-296 f,22,23,1634,1611,undetermined,,,,0.332684057,0.332684057,,,,,,12.59565217
MODEL-SENSITIVITY,Kepler-452 b,23,25,1405,1380,inferred,0.05581395349,1,0.9441860465,0.4599057854,0.4599057854,,,,,,12.59565217
MODEL-SENSITIVITY,Kepler-438 b,24,26,1119,1093,undetermined,,,,0.897696577,0.897696577,,,,,,12.59565217
MODEL-SENSITIVITY,GJ 667 C c,25,28,634,606,undetermined,,,,0.2994328575,0.2994328575,,133,0,0,0,
