period_lower_days,period_upper_days,mes_lower,mes_upper,synthetic_trials_unique,synthetic_rejected_as_fp,false_alarm_effectiveness,false_alarm_effectiveness_lower,false_alarm_effectiveness_upper,false_alarm_effectiveness_label,observed_tces,observed_instrumental_false_alarms,observed_false_alarm_fraction,observed_false_alarm_fraction_lower,observed_false_alarm_fraction_upper,observed_false_alarm_fraction_label,false_alarm_reliability_point,false_alarm_reliability_p025_raw,false_alarm_reliability_p50_raw,false_alarm_reliability_p975_raw,posterior_draw_fraction_in_probability_space,false_alarm_reliability_label,status
50,100,7,8,64,57,0.890625,0.7972298984,0.9497235899,SIMULATED,61,49,0.8032786885,0.6908644792,0.8877131207,OBSERVED,0.4985380117,-0.3370179215,0.4946631467,0.8233529165,0.9121,MODEL-INFERRED,low_finite_sample_support
50,100,8,9,55,55,1,0.9555542039,0.9999911126,SIMULATED,60,51,0.85,0.7441235172,0.9231019145,OBSERVED,1,0.7006572596,0.9772788211,0.9999526049,0.9996,MODEL-INFERRED,low_finite_sample_support
50,100,9,10,41,41,1,0.9409242901,0.9999880964,SIMULATED,43,32,0.7441860465,0.6009312427,0.8558186571,OBSERVED,1,0.7948601025,0.9841347239,0.9999637677,1,MODEL-INFERRED,low_finite_sample_support
50,100,10,12,46,45,0.9782608696,0.9028709567,0.9976442994,SIMULATED,60,36,0.6,0.4737422899,0.7168667537,OBSERVED,0.9666666667,0.8197982464,0.9606796964,0.9966034941,1,MODEL-INFERRED,low_finite_sample_support
50,100,12,15,32,32,1,0.9250722366,0.9999847747,SIMULATED,46,26,0.5652173913,0.4216387167,0.7008717558,OBSERVED,1,0.8878105851,0.9908253207,0.9999800907,1,MODEL-INFERRED,low_finite_sample_support
50,100,15,20,12,11,0.9166666667,0.6715042736,0.9908556738,SIMULATED,54,12,0.2222222222,0.1276124317,0.3456895177,OBSERVED,0.974025974,0.8339886573,0.9698129181,0.997688997,0.99995,MODEL-INFERRED,low_finite_sample_support
50,100,20,30,12,12,1,0.8146940617,0.9999599247,SIMULATED,40,6,0.15,0.06512551518,0.2833133596,OBSERVED,1,0.9521564691,0.9967192018,0.9999926431,1,MODEL-INFERRED,low_finite_sample_support
100,200,7,8,145,134,0.924137931,0.8725598757,0.9590263722,SIMULATED,69,62,0.8985507246,0.8111282033,0.9534621323,OBSERVED,0.2729211087,-1.006525994,0.2732489392,0.7274229894,0.7411,MODEL-INFERRED,diagnostic_supported
100,200,8,9,69,67,0.9710144928,0.9102613583,0.9939287228,SIMULATED,75,69,0.92,0.8425433487,0.9659165164,OBSERVED,0.6567164179,-0.5328386718,0.6389641491,0.9401361453,0.9108,MODEL-INFERRED,low_finite_sample_support
100,200,9,10,51,51,1,0.9521697376,0.999990419,SIMULATED,59,53,0.8983050847,0.8023670219,0.9564234416,OBSERVED,1,0.4581065709,0.9617265396,0.9999058213,0.99555,MODEL-INFERRED,low_finite_sample_support
100,200,10,12,74,74,1,0.9667354775,0.9999933868,SIMULATED,97,80,0.824742268,0.7401332804,0.8903181839,OBSERVED,1,0.8263627394,0.9860353106,0.9999709648,0.99995,MODEL-INFERRED,low_finite_sample_support
100,200,12,15,60,60,1,0.9591660771,0.9999918502,SIMULATED,77,60,0.7792207792,0.6773953902,0.8605127367,OBSERVED,1,0.8366285126,0.98673111,0.9999688416,1,MODEL-INFERRED,low_finite_sample_support
100,200,15,20,31,31,1,0.9227699643,0.9999842875,SIMULATED,51,31,0.6078431373,0.4709446249,0.7328835921,OBSERVED,1,0.8582601172,0.9890454175,0.9999749814,1,MODEL-INFERRED,low_finite_sample_support
100,200,20,30,17,17,1,0.8645215621,0.9999715376,SIMULATED,31,17,0.5483870968,0.3754651032,0.7127301856,OBSERVED,1,0.7819249877,0.9840350214,0.9999663976,0.9999,MODEL-INFERRED,low_finite_sample_support
200,300,7,8,369,363,0.9837398374,0.9667939479,0.9931853244,SIMULATED,107,105,0.9813084112,0.9413958483,0.9960959717,OBSERVED,0.132231405,-4.039591685,0.1747664478,0.8051136791,0.59925,MODEL-INFERRED,diagnostic_supported
200,300,8,9,162,160,0.987654321,0.9609896383,0.9974258941,SIMULATED,50,47,0.94,0.848467437,0.9828133509,OBSERVED,0.8041666667,-0.1785153768,0.798156883,0.9707800325,0.9624,MODEL-INFERRED,diagnostic_supported
200,300,9,10,106,106,1,0.9766356319,0.9999953785,SIMULATED,69,66,0.9565217391,0.8885103922,0.9876045915,OBSERVED,1,0.2425055026,0.9556713194,0.9999177613,0.9862,MODEL-INFERRED,diagnostic_supported
200,300,10,12,217,216,0.9953917051,0.9786658489,0.9995023257,SIMULATED,95,91,0.9578947368,0.9030074791,0.9856233808,OBSERVED,0.8946759259,0.2885857591,0.8811641756,0.9905133845,0.99095,MODEL-INFERRED,diagnostic_supported
200,300,12,15,203,202,0.9950738916,0.9772096152,0.99946797,SIMULATED,111,109,0.981981982,0.9434609953,0.9962373535,OBSERVED,0.7301980198,-1.521959722,0.7016364983,0.9783094303,0.86695,MODEL-INFERRED,diagnostic_supported
200,300,15,20,123,122,0.9918699187,0.9626364903,0.9991213799,SIMULATED,67,58,0.8656716418,0.7691971256,0.9314023172,OBSERVED,0.9471766849,0.7000609869,0.9394982224,0.9947627155,0.99995,MODEL-INFERRED,diagnostic_supported
200,300,20,30,48,48,1,0.9492727366,0.9999898233,SIMULATED,24,22,0.9166666667,0.7585970268,0.9822753452,OBSERVED,1,0.07294016488,0.9511742377,0.9999089722,0.97795,MODEL-INFERRED,low_finite_sample_support
300,400,7,8,1405,1387,0.9871886121,0.9802622228,0.9921150892,SIMULATED,472,460,0.9745762712,0.9573445156,0.9860284932,OBSERVED,0.5025234319,-0.04878629933,0.5060015017,0.7614281759,0.96685,MODEL-INFERRED,diagnostic_supported
300,400,8,9,927,915,0.9870550162,0.9781806423,0.9929046035,SIMULATED,360,349,0.9694444444,0.9477435583,0.9836595756,OBSERVED,0.58390462,0.05119702909,0.5865683698,0.8182657601,0.98155,MODEL-INFERRED,diagnostic_supported
300,400,9,10,522,521,0.9980842912,0.9910813046,0.9997932218,SIMULATED,209,209,1,0.9880672823,0.9999976534,OBSERVED,,-1216.679288,-1.087253049,0.9330554914,0.3484,MODEL-INFERRED,point_outside_probability_space
300,400,10,12,624,623,0.9983974359,0.9925342947,0.9998270327,SIMULATED,278,269,0.9676258993,0.9417533385,0.9838628617,OBSERVED,0.9520242554,0.7289684009,0.9437371794,0.9952460438,1,MODEL-INFERRED,diagnostic_supported
300,400,12,15,486,486,1,0.9948473726,0.9999989902,SIMULATED,218,215,0.9862385321,0.9637345839,0.9961093433,OBSERVED,1,0.4914886752,0.9683838992,0.9999404866,0.99495,MODEL-INFERRED,diagnostic_supported
300,400,15,20,330,330,1,0.9924226731,0.9999985131,SIMULATED,152,150,0.9868421053,0.9584646061,0.9972559355,OBSERVED,1,0.08914326438,0.9523228473,0.9998896308,0.97825,MODEL-INFERRED,diagnostic_supported
300,400,20,30,111,111,1,0.9776738891,0.9999955862,SIMULATED,36,36,1,0.9330555177,0.9999864546,OBSERVED,,-273.2478122,0.6741568256,0.9995385578,0.66695,MODEL-INFERRED,point_outside_probability_space
400,500,7,8,823,807,0.9805589307,0.9693675467,0.9883861753,SIMULATED,277,267,0.963898917,0.9369092898,0.9812905296,OBSERVED,0.4706319703,-0.2235864041,0.472937218,0.7558858368,0.9386,MODEL-INFERRED,diagnostic_supported
400,500,8,9,504,501,0.994047619,0.9842008786,0.998320782,SIMULATED,122,119,0.9754098361,0.9358394293,0.9930267715,OBSERVED,0.7624750499,-0.2055833241,0.7613932131,0.952369864,0.95875,MODEL-INFERRED,diagnostic_supported
400,500,9,10,275,274,0.9963636364,0.9831312999,0.9996073647,SIMULATED,99,99,1,0.9750085531,0.9999950526,OBSERVED,,-973.6340002,-0.8160274022,0.9397133073,0.3801,MODEL-INFERRED,point_outside_probability_space
400,500,10,12,378,377,0.9973544974,0.9877024309,0.9997144083,SIMULATED,148,148,1,0.9831988381,0.9999966878,OBSERVED,,-938.8533233,-0.9909010626,0.9332118022,0.3561,MODEL-INFERRED,point_outside_probability_space
400,500,12,15,456,456,1,0.9945095017,0.9999989238,SIMULATED,157,154,0.9808917197,0.9498909375,0.9945896234,OBSERVED,1,0.6035959618,0.9756881233,0.999952813,0.99685,MODEL-INFERRED,diagnostic_supported
400,500,15,20,320,320,1,0.9921869936,0.9999984667,SIMULATED,119,119,1,0.9791559161,0.9999958823,OBSERVED,,-208.6516034,0.6273911331,0.9993523375,0.64655,MODEL-INFERRED,point_outside_probability_space
400,500,20,30,66,66,1,0.9627943897,0.9999925882,SIMULATED,24,24,1,0.9016123956,0.9999797524,OBSERVED,,-232.6132128,0.6283869806,0.9994405912,0.6542,MODEL-INFERRED,low_finite_sample_support
500,600,7,8,575,571,0.9930434783,0.9835447462,0.9976474313,SIMULATED,122,121,0.9918032787,0.9623354501,0.9991141664,OBSERVED,0.1523642732,-8.345692333,0.2568798766,0.8765793448,0.61115,MODEL-INFERRED,diagnostic_supported
500,600,8,9,339,339,1,0.9926229492,0.9999985526,SIMULATED,91,91,1,0.9728475717,0.9999946188,OBSERVED,,-195.4034257,0.7273632928,0.9996246326,0.6915,MODEL-INFERRED,point_outside_probability_space
500,600,9,10,173,173,1,0.9856056934,0.9999971658,SIMULATED,49,49,1,0.9502766147,0.9999900299,OBSERVED,,-177.9437038,0.7210910229,0.9995519992,0.68635,MODEL-INFERRED,point_outside_probability_space
500,600,10,12,254,254,1,0.9901688422,0.9999980687,SIMULATED,97,97,1,0.9745012077,0.9999949508,OBSERVED,,-240.9410238,0.6175561238,0.9993895889,0.6471,MODEL-INFERRED,point_outside_probability_space
500,600,12,15,333,332,0.996996997,0.9860509947,0.999675792,SIMULATED,125,124,0.992,0.9632243626,0.99913546,OBSERVED,0.6265060241,-4.784752627,0.6295098104,0.9776005332,0.7775,MODEL-INFERRED,diagnostic_supported
500,600,15,20,228,228,1,0.9890551263,0.9999978487,SIMULATED,83,83,1,0.970277538,0.9999941017,OBSERVED,,-248.9065778,0.6333150972,0.9994409334,0.6552,MODEL-INFERRED,point_outside_probability_space
500,600,20,30,38,38,1,0.936441745,0.9999871629,SIMULATED,19,19,1,0.8776905957,0.9999744942,OBSERVED,,-294.110066,0.514854972,0.9991441962,0.6081,MODEL-INFERRED,low_finite_sample_support
