label,pl_name,hostname,earth2_rank,planet_mass_earth_used,planet_mass_basis,planet_radius_earth,equilibrium_temperature_k,stellar_radius_solar,status,hydrogen_to_earth_air_signal_ratio,claim_boundary,hydrogen_helium__scale_height_km,hydrogen_helium__transmission_signal_ppm,water_vapour__scale_height_km,water_vapour__transmission_signal_ppm,earth_like_n2_o2__scale_height_km,earth_like_n2_o2__transmission_signal_ppm,carbon_dioxide__scale_height_km,carbon_dioxide__transmission_signal_ppm
SCENARIO,Proxima Cen b,Proxima Cen,1,1.055,msini_lower_limit,1.02,227.4466657,0.141,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",82.08512153,554.3575801,10.48865442,70.83457968,6.516940956,44.0118203,4.290813171,28.9777826
SCENARIO,GJ 1061 d,GJ 1061,2,1.67,measured,1.16,223.7190053,0.156,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",65.96891999,413.9155716,8.429361999,52.88921193,5.23743583,32.86178166,3.448375363,21.63649579
SCENARIO,GJ 1002 b,GJ 1002,3,1.08,msini_lower_limit,1.03,229.9766629,0.137,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",82.67447559,597.2155918,10.56396077,76.31088118,6.563731234,47.41442393,4.321620315,31.21808776
SCENARIO,Wolf 1069 b,Wolf 1069,4,1.26,msini_lower_limit,1.08,228.4162336,0.1813,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",77.38217262,334.6822382,9.887722057,42.76495266,6.143562203,26.57125122,4.044977205,17.49475336
SCENARIO,Teegarden's Star c,Teegarden's Star,5,1.05,msini_lower_limit,1.02,195.5158985,0.12,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",70.89736752,661.0455527,9.059108072,84.46693174,5.628717477,52.4820425,3.705998757,34.55465389
SCENARIO,Kepler-1649 c,Kepler-1649,6,1.2,inferred_mass_radius,1.06,236.5540473,0.2317,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",81.05836781,210.6760905,10.35745811,26.91972268,6.435424438,16.72609624,4.237141954,11.01261382
SCENARIO,GJ 1002 c,GJ 1002,7,1.36,msini_lower_limit,1.1,180.9874028,0.137,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",58.92936984,454.6183341,7.529863924,58.09012047,4.67854852,36.09327471,3.080398878,23.76414019
SCENARIO,Kepler-1229 b,Kepler-1229,8,2.54,inferred_mass_radius,1.4,216.2708011,0.51,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",61.07412178,43.27215385,7.80391556,5.529219659,4.848825685,3.435483392,3.192510911,2.261953497
SCENARIO,GJ 667 C f,GJ 667 C,9,2.7,msini_lower_limit,1.45,220.2165756,,undetermined_missing_usable_mass_radius_temperature_or_star_radius,,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",,,,,,,,
SCENARIO,TOI-700 d,TOI-700,10,1.25,inferred_mass_radius,1.073,244.0730333,0.421,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",82.27089399,65.56096619,10.51239201,8.377234568,6.531689892,5.205047367,4.300524004,3.427050505
SCENARIO,Kepler-442 b,Kepler-442,11,2.36,inferred_mass_radius,1.34,229.1136958,0.598,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",63.79485165,31.4667334,8.151564378,4.020749268,5.064831163,2.498221844,3.334730882,1.644851973
SCENARIO,Kepler-186 f,Kepler-186,12,1.71,inferred_mass_radius,1.17,188.1245096,0.523,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",55.11349862,31.03159249,7.042280379,3.965147929,4.37559706,2.46367493,2.880932882,1.622105971
SCENARIO,GJ 667 C e,GJ 667 C,13,2.7,msini_lower_limit,1.45,188.4684601,,undetermined_missing_usable_mass_radius_temperature_or_star_radius,,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",,,,,,,,
SCENARIO,TOI-715 b,TOI-715,14,3.02,inferred_mass_radius,1.55,229.9766629,0.24,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",66.95410488,237.1646853,8.555246735,30.30437645,5.315652096,18.82909134,3.499873664,12.39724491
SCENARIO,LHS 1140 b,LHS 1140,15,5.6,measured,1.73,205.8411412,0.2159,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",40.25996077,196.6879547,5.144328321,25.13234976,3.196337928,15.61554352,2.104497949,10.28141581
SCENARIO,Gl 725 B c,Gl 725 B,16,3.4,msini_lower_limit,1.66,210.9383063,0.28,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",62.56474815,174.3754432,7.994384485,22.28130663,4.967170202,13.84409801,3.270430017,9.115079984
SCENARIO,Kepler-62 f,Kepler-62,17,,upper_limit_not_used,1.41,213.7507111,0.64,undetermined_missing_usable_mass_radius_temperature_or_star_radius,,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",,,,,,,,
SCENARIO,Kepler-1652 b,Kepler-1652,18,3.19,inferred_mass_radius,1.6,241.1494756,0.382,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",70.82271821,102.2184865,9.049569549,13.06125106,5.622790883,8.115378633,3.702096634,5.343239068
SCENARIO,GJ 3378 b,GJ 3378,19,2.3,msini_lower_limit,1.32,248.2706694,0.275,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",68.83073842,158.1446741,8.795038798,20.20737502,5.464642677,12.55549708,3.597970417,8.266653419
SCENARIO,Kepler-1544 b,Kepler-1544,20,3.82,inferred_mass_radius,1.78,242.8434071,0.74,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",73.71229726,31.53988515,9.418793538,4.030096435,5.852201715,2.504029542,3.853142811,1.648675814
SCENARIO,GJ 251 c,GJ 251,21,3.88,msini_lower_limit,1.8,202.6564396,0.36,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",61.93136898,113.2248573,7.913452703,14.46762066,4.916884662,8.98920165,3.23732156,5.918572087
SCENARIO,Kepler-296 f,Kepler-296,22,3.89,inferred_mass_radius,1.8,225.5604693,0.48,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",68.75359087,70.70481889,8.785181056,9.034504636,5.458517743,5.613430565,3.593937705,3.695933715
SCENARIO,Kepler-452 b,Kepler-452,23,3.29,inferred_mass_radius,1.63,260.3234183,1.11,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",76.93598819,13.39783983,9.830709602,1.711946201,6.108138517,1.063687663,4.021653928,0.7003416275
SCENARIO,Kepler-438 b,Kepler-438,24,1.46,inferred_mass_radius,1.12,276.5012354,0.52,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",86.93952292,47.40151108,11.10893904,6.056859749,6.902343898,3.763323282,4.544565971,2.477806261
SCENARIO,GJ 667 C c,GJ 667 C,25,3.8,msini_lower_limit,1.77,246.0166354,,undetermined_missing_usable_mass_radius_temperature_or_star_radius,,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",,,,,,,,
