label,reduction_id,planet,spectrum_type,authors,bibcode,doi,facility,instrument,program,program_status,reduction_note,archive_spec_path,declared_points,wavelength_min_um,wavelength_max_um,data_source
OBSERVED,655b42bfd2e6f0e47282,2MASS J01033563-5515561 AB b,direct imaging,M&acirc;lin et al. 2025,2025A&A...704A.181M,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Mid-Infrared Instrument (MIRI) - MRS,,not_provided_by_archive_index,Figure 2; Circumplanetary disk features present,98/85/23/58/Delorme_1_AB_b_3.12580_5933_1.tbl,10920,4.9004,24.485,NASA Exoplanet Archive spectra index
OBSERVED,c841bbd07850080bd652,2MASS J12073346-3932539 b,direct imaging,Luhman et al. 2023,2023ApJ...949L..36L,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Spectrograph (NIRSpec),,not_provided_by_archive_index,,94/69/37/09/2MASS_J12073346_3932539_b_3.10912_5457_1.tbl,17434,0.9701,5.269,NASA Exoplanet Archive spectra index
OBSERVED,40c35b9504233928e2c2,51 Eri b,direct imaging,Macintosh et al. 2015,2015Sci...350...64M,,Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,Gemini Planet Imager (GPI),,not_provided_by_archive_index,,72/22/26/09/51_Eri_b_3.11801_3607_3.tbl,74,1.1141,1.7974,NASA Exoplanet Archive spectra index
OBSERVED,b79c37137207066e6440,51 Eri b,direct imaging,Samland et al. 2017,2017A&A...603A..57S,,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,SPHERE - IRDIS,,not_provided_by_archive_index,"Table 2, ADI. Spectrum from multiple epochs.",33/57/16/02/51_Eri_b_3.11801_5468_1.tbl,5,1.589,2.255,NASA Exoplanet Archive spectra index
OBSERVED,cf3536d41e7cd9cc1ac1,51 Eri b,direct imaging,Samland et al. 2017,2017A&A...603A..57S,,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,SPHERE - IFS,,not_provided_by_archive_index,YJ. Spectrum from multiple epochs.,36/05/03/42/51_Eri_b_3.11801_5468_3.tbl,29,0.9814,1.3292,NASA Exoplanet Archive spectra index
OBSERVED,32dda31a2481cd5cbd86,51 Eri b,direct imaging,Samland et al. 2017,2017A&A...603A..57S,,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,SPHERE - IFS,,not_provided_by_archive_index,YH. Spectrum from multiple epochs.,50/30/28/82/51_Eri_b_3.11801_5468_2.tbl,33,1.0093,1.6407,NASA Exoplanet Archive spectra index
OBSERVED,f416389fd71cc2627d60,51 Eri b,direct imaging,Rajan et al. 2017,2017AJ....154...10R,,W. M. Keck Observatory,NIRC2 Camera,,not_provided_by_archive_index,Spectrum from multiple epochs.,08/37/70/26/51_Eri_b_3.11801_5469_2.tbl,2,3.776,4.67,NASA Exoplanet Archive spectra index
OBSERVED,66cd23321cbd214766d9,51 Eri b,direct imaging,Rajan et al. 2017,2017AJ....154...10R,,Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,Gemini Planet Imager (GPI),,not_provided_by_archive_index,Spectrum from multiple epochs.,61/36/76/44/51_Eri_b_3.11801_5469_1.tbl,74,1.8861,2.3964,NASA Exoplanet Archive spectra index
OBSERVED,338c5dc5d411b7325f92,55 Cnc e,eclipse,Demory et al. 2012,2012ApJ...751L..28D,,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC),,not_provided_by_archive_index,,36/94/31/60/55_Cnc_e_3.10924_4102_1.tbl,1,4.5,4.5,NASA Exoplanet Archive spectra index
OBSERVED,d48c50b39676a1ad7c12,55 Cnc e,eclipse,Demory et al. 2016,2016MNRAS.455.2018D,,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC),,not_provided_by_archive_index,Table 2,27/26/74/71/55_Cnc_e_3.10924_3724_1.tbl,2,4.5,4.5,NASA Exoplanet Archive spectra index
OBSERVED,f0008b9239c04504effa,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 3",02/33/62/04/55_Cnc_e_3.10924_5518_6.tbl,30,3.9536,4.9102,NASA Exoplanet Archive spectra index
OBSERVED,18597a2d58dd5c3e0a16,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 3",09/06/38/72/55_Cnc_e_3.10924_5518_5.tbl,30,3.9529,4.9186,NASA Exoplanet Archive spectra index
OBSERVED,8a4581f105de3aaf1347,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Table 1, Obs. Date corresponds to Start date, stark pipeline",17/46/80/80/55_Cnc_e_3.10924_5518_14.tbl,2,2.12,4.5,NASA Exoplanet Archive spectra index
OBSERVED,585252d4508eb5e2ff10,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 4",20/68/57/63/55_Cnc_e_3.10924_5518_8.tbl,30,3.9536,4.9102,NASA Exoplanet Archive spectra index
OBSERVED,0c612e425c0fb7be1e22,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 5",24/05/07/90/55_Cnc_e_3.10924_5518_10.tbl,30,3.9536,4.9102,NASA Exoplanet Archive spectra index
OBSERVED,1b606431d720377a3420,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 2",28/36/47/75/55_Cnc_e_3.10924_5518_4.tbl,30,3.9536,4.9102,NASA Exoplanet Archive spectra index
OBSERVED,96e60a92b1be7de90021,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Table 1, Obs. Date corresponds to Start date, stark pipeline",37/45/30/30/55_Cnc_e_3.10924_5518_11.tbl,2,2.12,4.5,NASA Exoplanet Archive spectra index
OBSERVED,af1cd4526e0f2642a7d7,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 2",57/50/14/73/55_Cnc_e_3.10924_5518_3.tbl,30,3.9529,4.9186,NASA Exoplanet Archive spectra index
OBSERVED,865ee0fd11f2b92388dd,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 4",63/40/60/27/55_Cnc_e_3.10924_5518_7.tbl,30,3.9529,4.9186,NASA Exoplanet Archive spectra index
OBSERVED,57eebc5630bbac08eb0e,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 1",72/20/01/75/55_Cnc_e_3.10924_5518_2.tbl,30,3.9536,4.9102,NASA Exoplanet Archive spectra index
OBSERVED,04c3edec54ba72b60b40,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Table 1, Obs. Date corresponds to Start date, stark pipeline",75/80/20/09/55_Cnc_e_3.10924_5518_15.tbl,2,2.12,4.5,NASA Exoplanet Archive spectra index
OBSERVED,ef660dd5f9e449ebb303,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 5",75/98/87/03/55_Cnc_e_3.10924_5518_9.tbl,30,3.9529,4.9186,NASA Exoplanet Archive spectra index
OBSERVED,06fbb34c261c27f51e06,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Table 1, Obs. Date corresponds to Start date, stark pipeline",92/19/36/89/55_Cnc_e_3.10924_5518_12.tbl,2,2.12,4.5,NASA Exoplanet Archive spectra index
OBSERVED,77ca9d7d844acdd02d9f,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 1",95/23/06/90/55_Cnc_e_3.10924_5518_1.tbl,30,3.9529,4.9186,NASA Exoplanet Archive spectra index
OBSERVED,2af8d155b87a82b6deba,55 Cnc e,eclipse,Patel et al. 2024,2024A&A...690A.159P,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,"Table 1, Obs. Date corresponds to Start date, stark pipeline",96/61/71/89/55_Cnc_e_3.10924_5518_13.tbl,2,2.12,4.5,NASA Exoplanet Archive spectra index
OBSERVED,43b249a15a961fb8f239,55 Cnc e,eclipse,Hu et al. 2024,2024Natur.630..609H,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Mid-Infrared Instrument (MIRI),,not_provided_by_archive_index,Fig. 3,03/10/03/15/55_Cnc_e_3.10924_5378_1.tbl,9,6.5825,11.4545,NASA Exoplanet Archive spectra index
OBSERVED,105da36716a1d10141ee,55 Cnc e,eclipse,Hu et al. 2024,2024Natur.630..609H,,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,Near Infrared Camera (NIRCam),,not_provided_by_archive_index,Relative eclipse depths offset by 60 ppm (Fig 3),48/20/90/63/55_Cnc_e_3.10924_5378_2.tbl,21,3.965,4.965,NASA Exoplanet Archive spectra index
