pl_name,hostname,is_control,st_age_gyr,st_mass_solar,st_feh,st_log_luminosity_solar,pl_orbsmax_au,label,status,reason,draws_requested,draws_supported,supported_fraction,age_precision_status,model_agreement,boundary_sensitivity,classification_robustness,kopparapu_conservative__p_current_hz,kopparapu_conservative__tau_hz_gyr_p16,kopparapu_conservative__tau_hz_gyr_p50,kopparapu_conservative__tau_hz_gyr_p84,kopparapu_conservative__f_chz_p16,kopparapu_conservative__f_chz_p50,kopparapu_conservative__f_chz_p84,kopparapu_moist_greenhouse__p_current_hz,kopparapu_moist_greenhouse__tau_hz_gyr_p16,kopparapu_moist_greenhouse__tau_hz_gyr_p50,kopparapu_moist_greenhouse__tau_hz_gyr_p84,kopparapu_moist_greenhouse__f_chz_p16,kopparapu_moist_greenhouse__f_chz_p50,kopparapu_moist_greenhouse__f_chz_p84,kopparapu_optimistic_empirical__p_current_hz,kopparapu_optimistic_empirical__tau_hz_gyr_p16,kopparapu_optimistic_empirical__tau_hz_gyr_p50,kopparapu_optimistic_empirical__tau_hz_gyr_p84,kopparapu_optimistic_empirical__f_chz_p16,kopparapu_optimistic_empirical__f_chz_p50,kopparapu_optimistic_empirical__f_chz_p84,history_start_gyr,history_steps,luminosity_anchor_max_abs_dex
HD 2039 b,HD 2039,False,6,1.23,0.3,0.1939,2.2,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-8 b,HAT-P-8,False,3.4,1.27,0.01,0.519,0.04496,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-43 b,K2-43,False,,0.571,,-1.21241,0.03784,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1753 b,Kepler-1753,False,6.2,0.86,0,-0.55992,0.1179,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1176 b,Kepler-1176,False,3.8,1.01,-0.01,-0.11691,0.1589,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-126 b,K2-126,False,,0.69,0.02,-0.87762,0.0656,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1263 b,Kepler-1263,False,4.9,0.84,-0.03,-0.41402,0.0499,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1416 b,Kepler-1416,False,2.95,1.09,0.03,0.28393,0.0257,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1542 c,Kepler-1542,False,8.51,0.94,0.06,0.07026,0.0387,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-85 b,K2-85,False,,0.7,0.14,-0.81171,0.013,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
