label,mist_version,rotation_v_over_vcrit,feh,log10_age_years,initial_mass_solar,log10_luminosity_solar,log10_teff_kelvin
MODEL-INFERRED,1.2,0.4,-4,8,0.5,-1.088499003,3.686423213
MODEL-INFERRED,1.2,0.4,-4,8,0.525,-1.007016374,3.695783108
MODEL-INFERRED,1.2,0.4,-4,8,0.55,-0.925362217,3.705380431
MODEL-INFERRED,1.2,0.4,-4,8,0.575,-0.8448734188,3.715223579
MODEL-INFERRED,1.2,0.4,-4,8,0.6,-0.7654340309,3.72506967
MODEL-INFERRED,1.2,0.4,-4,8,0.625,-0.7000661512,3.733979389
MODEL-INFERRED,1.2,0.4,-4,8,0.65,-0.6353687391,3.742847633
MODEL-INFERRED,1.2,0.4,-4,8,0.675,-0.5706506382,3.751726836
MODEL-INFERRED,1.2,0.4,-4,8,0.7,-0.5059029082,3.760610876
MODEL-INFERRED,1.2,0.4,-4,8,0.725,-0.441140726,3.7694989
MODEL-INFERRED,1.2,0.4,-4,8,0.75,-0.3763813295,3.778379415
MODEL-INFERRED,1.2,0.4,-4,8,0.775,-0.3116044259,3.787258179
MODEL-INFERRED,1.2,0.4,-4,8,0.8,-0.2467607373,3.796149893
MODEL-INFERRED,1.2,0.4,-4,8,0.825,-0.1819024618,3.805038219
MODEL-INFERRED,1.2,0.4,-4,8,0.85,-0.1170369596,3.813923281
MODEL-INFERRED,1.2,0.4,-4,8,0.875,-0.05214963696,3.822806535
MODEL-INFERRED,1.2,0.4,-4,8,0.9,0.01275688646,3.83169055
MODEL-INFERRED,1.2,0.4,-4,8,0.925,0.07769525056,3.840575571
MODEL-INFERRED,1.2,0.4,-4,8,0.95,0.1426587916,3.849465952
MODEL-INFERRED,1.2,0.4,-4,8,0.975,0.2076628221,3.858357875
MODEL-INFERRED,1.2,0.4,-4,8,1,0.2603159336,3.866220495
MODEL-INFERRED,1.2,0.4,-4,8,1.025,0.3084503771,3.87406037
MODEL-INFERRED,1.2,0.4,-4,8,1.05,0.355249847,3.882208843
MODEL-INFERRED,1.2,0.4,-4,8,1.075,0.4008381229,3.890846628
MODEL-INFERRED,1.2,0.4,-4,8,1.1,0.4447491645,3.900108001
MODEL-INFERRED,1.2,0.4,-4,8,1.125,0.4880107907,3.909499739
MODEL-INFERRED,1.2,0.4,-4,8,1.15,0.5298069142,3.918896069
MODEL-INFERRED,1.2,0.4,-4,8,1.175,0.5706575571,3.928131268
MODEL-INFERRED,1.2,0.4,-4,8,1.2,0.6101231419,3.937169326
MODEL-INFERRED,1.2,0.4,-4,8,1.225,0.64894072,3.946041019
MODEL-INFERRED,1.2,0.4,-4,8,1.25,0.6868283787,3.954663987
MODEL-INFERRED,1.2,0.4,-4,8,1.275,0.7234840482,3.962933147
MODEL-INFERRED,1.2,0.4,-4,8,1.3,0.7596376526,3.971064866
MODEL-INFERRED,1.2,0.4,-4,8,1.325,0.7944597874,3.978795326
MODEL-INFERRED,1.2,0.4,-4,8,1.35,0.8281489512,3.986167299
MODEL-INFERRED,1.2,0.4,-4,8,1.375,0.8618502181,3.993538729
MODEL-INFERRED,1.2,0.4,-4,8,1.4,0.8941518926,4.000446046
MODEL-INFERRED,1.2,0.4,-4,8,1.425,0.9255757675,4.007049299
MODEL-INFERRED,1.2,0.4,-4,8,1.45,0.9563136363,4.013409275
MODEL-INFERRED,1.2,0.4,-4,8,1.475,0.9859166562,4.019362219
MODEL-INFERRED,1.2,0.4,-4,8,1.5,1.015541526,4.02531439
MODEL-INFERRED,1.2,0.4,-4,8.05,0.5,-1.086844735,3.686279942
MODEL-INFERRED,1.2,0.4,-4,8.05,0.525,-1.005488475,3.695695565
MODEL-INFERRED,1.2,0.4,-4,8.05,0.55,-0.9243536774,3.705296302
MODEL-INFERRED,1.2,0.4,-4,8.05,0.575,-0.8442078744,3.715163964
MODEL-INFERRED,1.2,0.4,-4,8.05,0.6,-0.7650919771,3.725027892
MODEL-INFERRED,1.2,0.4,-4,8.05,0.625,-0.6995672982,3.733958721
MODEL-INFERRED,1.2,0.4,-4,8.05,0.65,-0.6348476392,3.742841216
MODEL-INFERRED,1.2,0.4,-4,8.05,0.675,-0.5701080248,3.751729074
MODEL-INFERRED,1.2,0.4,-4,8.05,0.7,-0.5053510558,3.760615552
MODEL-INFERRED,1.2,0.4,-4,8.05,0.725,-0.4406060715,3.76949388
MODEL-INFERRED,1.2,0.4,-4,8.05,0.75,-0.3758034655,3.778379817
MODEL-INFERRED,1.2,0.4,-4,8.05,0.775,-0.3109552751,3.787272834
MODEL-INFERRED,1.2,0.4,-4,8.05,0.8,-0.2460957497,3.796160697
MODEL-INFERRED,1.2,0.4,-4,8.05,0.825,-0.1812237207,3.805046731
MODEL-INFERRED,1.2,0.4,-4,8.05,0.85,-0.1163289351,3.813930202
MODEL-INFERRED,1.2,0.4,-4,8.05,0.875,-0.05141337293,3.822815517
MODEL-INFERRED,1.2,0.4,-4,8.05,0.9,0.01353551793,3.831702684
MODEL-INFERRED,1.2,0.4,-4,8.05,0.925,0.07851148241,3.840594659
MODEL-INFERRED,1.2,0.4,-4,8.05,0.95,0.1435190542,3.849487581
MODEL-INFERRED,1.2,0.4,-4,8.05,0.975,0.2082149485,3.85835243
MODEL-INFERRED,1.2,0.4,-4,8.05,1,0.2611315489,3.866266026
