quantity,column,n_with_value,pct_with_value,uncertainty_applicable,n_with_uncertainty,pct_with_uncertainty
Planet radius,pl_rade,6310,99.21,True,4399.0,69.17
Planet mass,pl_bmasse,6329,99.51,True,3080.0,48.43
Bulk density,pl_dens,6216,97.74,True,1473.0,23.16
Orbital period,pl_orbper,6014,94.56,True,5519.0,86.78
Semi-major axis,pl_orbsmax,5930,93.24,True,3952.0,62.14
Orbital eccentricity,pl_orbeccen,5299,83.32,True,1919.0,30.17
Incident flux,insol_used,5774,90.79,False,,
Equilibrium temperature,teq_used,5836,91.76,False,,
Stellar effective temperature,st_teff,6060,95.28,True,5749.0,90.39
Stellar radius,st_rad,6036,94.91,True,5760.0,90.57
Stellar mass,st_mass,6351,99.86,True,6074.0,95.5
Stellar luminosity,st_lum,6042,95.0,True,3860.0,60.69
Stellar metallicity,st_met,5716,89.87,True,5430.0,85.38
Stellar age,st_age,4908,77.17,True,4652.0,73.14
System distance,sy_dist,6332,99.56,True,6222.0,97.83
