label,pl_name,hostname,hpic_star_name,gaia_dr3_id,tss25_tier,mass_class,draws,scenario,status,diameter_m,wavelength_nm,iwa_lambda_over_d,iwa_mas,contrast_floor,geometric_albedo_prior,argument_periapsis_treatment,mean_anomaly_treatment,eccentricity_treatment,inclination_treatment,minimum_mass_earth,true_mass_scenario_p16,true_mass_scenario_p50,true_mass_scenario_p84,mass_inclination_treatment,separation_mas_p16,separation_mas_p50,separation_mas_p84,contrast_p16,contrast_p50,contrast_p84,p_observable
FORECAST,14 Her b,14 Her,TIC 219483057,1385293808145621504,2,measured,512,analytic_6m_500nm_3lambda_d,catalogue_conditioned_scenario_probability,6,500,3,51.56620156,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,catalogue_value_with_asymmetric_uncertainty_when_available,,,,,not_applicable,105.641224,156.7290364,195.6072453,8.436163911e-10,2.288399037e-09,6.035877995e-09,0.99609375
FORECAST,14 Her b,14 Her,TIC 219483057,1385293808145621504,2,measured,512,analytic_8m_500nm_3lambda_d,catalogue_conditioned_scenario_probability,8,500,3,38.67465117,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,catalogue_value_with_asymmetric_uncertainty_when_available,,,,,not_applicable,105.641224,156.7290364,195.6072453,8.436163911e-10,2.288399037e-09,6.035877995e-09,0.99609375
FORECAST,14 Her b,14 Her,TIC 219483057,1385293808145621504,2,measured,512,analytic_6m_750nm_3lambda_d,catalogue_conditioned_scenario_probability,6,750,3,77.34930234,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,catalogue_value_with_asymmetric_uncertainty_when_available,,,,,not_applicable,105.641224,156.7290364,195.6072453,8.436163911e-10,2.288399037e-09,6.035877995e-09,0.982421875
FORECAST,16 Cyg B b,16 Cyg B,TIC 27533327,2135550755683407232,2,msini_lower_limit,512,analytic_6m_500nm_3lambda_d,catalogue_conditioned_scenario_probability,6,500,3,51.56620156,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,SCENARIO_isotropic_missing_catalogue_inclination,565.7374,575.1178666,648.8798836,1009.074197,M_sin_i retained; true-mass distribution uses the same inclination draws,34.48059509,80.10307199,117.7361417,9.71075802e-10,5.508646161e-09,2.060584151e-08,0.732421875
FORECAST,16 Cyg B b,16 Cyg B,TIC 27533327,2135550755683407232,2,msini_lower_limit,512,analytic_8m_500nm_3lambda_d,catalogue_conditioned_scenario_probability,8,500,3,38.67465117,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,SCENARIO_isotropic_missing_catalogue_inclination,565.7374,575.1178666,648.8798836,1009.074197,M_sin_i retained; true-mass distribution uses the same inclination draws,34.48059509,80.10307199,117.7361417,9.71075802e-10,5.508646161e-09,2.060584151e-08,0.814453125
FORECAST,16 Cyg B b,16 Cyg B,TIC 27533327,2135550755683407232,2,msini_lower_limit,512,analytic_6m_750nm_3lambda_d,catalogue_conditioned_scenario_probability,6,750,3,77.34930234,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,SCENARIO_isotropic_missing_catalogue_inclination,565.7374,575.1178666,648.8798836,1009.074197,M_sin_i retained; true-mass distribution uses the same inclination draws,34.48059509,80.10307199,117.7361417,9.71075802e-10,5.508646161e-09,2.060584151e-08,0.52734375
FORECAST,47 UMa b,47 UMa,TIC 21535479,777254360337133312,1,msini_lower_limit,512,analytic_6m_500nm_3lambda_d,catalogue_conditioned_scenario_probability,6,500,3,51.56620156,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,SCENARIO_isotropic_missing_catalogue_inclination,804.08,815.1684015,944.2816704,1626.990677,M_sin_i retained; true-mass distribution uses the same inclination draws,82.504191,132.4669438,149.5060609,8.604887214e-10,5.25793014e-09,1.260250107e-08,0.919921875
FORECAST,47 UMa b,47 UMa,TIC 21535479,777254360337133312,1,msini_lower_limit,512,analytic_8m_500nm_3lambda_d,catalogue_conditioned_scenario_probability,8,500,3,38.67465117,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,SCENARIO_isotropic_missing_catalogue_inclination,804.08,815.1684015,944.2816704,1626.990677,M_sin_i retained; true-mass distribution uses the same inclination draws,82.504191,132.4669438,149.5060609,8.604887214e-10,5.25793014e-09,1.260250107e-08,0.93359375
FORECAST,47 UMa b,47 UMa,TIC 21535479,777254360337133312,1,msini_lower_limit,512,analytic_6m_750nm_3lambda_d,catalogue_conditioned_scenario_probability,6,750,3,77.34930234,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,SCENARIO_isotropic_missing_catalogue_inclination,804.08,815.1684015,944.2816704,1626.990677,M_sin_i retained; true-mass distribution uses the same inclination draws,82.504191,132.4669438,149.5060609,8.604887214e-10,5.25793014e-09,1.260250107e-08,0.865234375
FORECAST,47 UMa c,47 UMa,TIC 21535479,777254360337133312,1,msini_lower_limit,512,analytic_6m_500nm_3lambda_d,catalogue_conditioned_scenario_probability,6,500,3,51.56620156,1e-10,SCENARIO_uniform_0.1_0.4,SCENARIO_uniform_0_2pi_not_in_source,SCENARIO_uniform_0_2pi_unknown_epoch,catalogue_value_with_asymmetric_uncertainty_when_available,SCENARIO_isotropic_missing_catalogue_inclination,171.621,173.8040279,197.8564855,306.1813582,M_sin_i retained; true-mass distribution uses the same inclination draws,142.1084459,225.1794136,258.5088543,4.464904746e-10,2.144064388e-09,5.083496542e-09,0.921875
