label,pl_name,earth2_rank,action_id,parameter,parameter_value,unit,prior_sigma,observation_sigma,expected_posterior_sigma,expected_information_gain_nats,expected_information_gain_bits,status,noise_rule,observation_model,cost_or_time,within_target_information_rank
SIMULATED,Proxima Cen b,1,mass_precision_requirement,planet mass or minimum mass,1.055,Earth masses,0.055,0.1055,0.04877040669,0.1202094766,0.1734256157,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,2
SIMULATED,Proxima Cen b,1,radius_precision_requirement,planet radius,1.02,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,Proxima Cen b,1,stellar_radius_precision_requirement,stellar radius,0.141,Solar radii,0.021,0.005,0.004864031073,1.462654905,2.110164977,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Proxima Cen b,1,stellar_age_precision_requirement,stellar age,,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,Proxima Cen b,1,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Proxima Cen b,1,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,GJ 1061 d,2,mass_precision_requirement,planet mass or minimum mass,1.67,Earth masses,0.19,0.167,0.1254346177,0.4152394239,0.5990638576,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,2
SIMULATED,GJ 1061 d,2,radius_precision_requirement,planet radius,1.16,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,GJ 1061 d,2,stellar_radius_precision_requirement,stellar radius,0.156,Solar radii,0.005,0.005,0.003535533906,0.3465735903,0.5,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,3
SIMULATED,GJ 1061 d,2,stellar_age_precision_requirement,stellar age,7,Gyr,0.5,1.4,0.4708709558,0.06002402114,0.08659635764,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,4
