kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_score,fpp_prob,astrophysical_planet_probability,astrophysical_planet_probability_label,observed_tce_disposition,observed_tce_mes,published_comparison_box,robovetter_score_is_candidate_reliability,false_alarm_reliability,total_candidate_reliability,reliability_status
6584273,K03287.01,006584273-01,CONFIRMED,CANDIDATE,51.1104797,0.0004344,-0.0004344,1.6,0.45,-0.14,21.9,0.949,8.3e-05,0.999917,MODEL-INFERRED,PC,19.6583,False,False,,,pending_validated_smooth_false_alarm_model
8037145,K00520.04,008037145-04,CONFIRMED,CANDIDATE,51.1658019,0.0004308,-0.0004308,1.51,0.05,-0.11,12.2,0.905,0.0048,0.9952,MODEL-INFERRED,PC,10.1711,False,False,,,pending_validated_smooth_false_alarm_model
4277304,K04774.01,004277304-01,CANDIDATE,CANDIDATE,51.567801,0.0006141,-0.0006141,1.3,0.24,-0.18,13.5,0.986,0.012,0.988,MODEL-INFERRED,PC,10.004,False,False,,,pending_validated_smooth_false_alarm_model
5213230,K03474.01,005213230-01,CONFIRMED,CANDIDATE,52.6095103,0.0007321,-0.0007321,1.83,0.3,-0.32,15.3,0.978,0.0008,0.9992,MODEL-INFERRED,PC,12.5319,False,False,,,pending_validated_smooth_false_alarm_model
6264750,K04715.01,006264750-01,CANDIDATE,CANDIDATE,53.285584,0.001112,-0.001112,1.44,0.42,-0.33,11,0.844,0.0017,0.9983,MODEL-INFERRED,PC,8.8568,False,False,,,pending_validated_smooth_false_alarm_model
4587135,K04680.01,004587135-01,CANDIDATE,CANDIDATE,54.0812235,0.0009413,-0.0009413,1.54,0.37,-0.12,11.6,0.767,0.067,0.933,MODEL-INFERRED,PC,10.3345,False,False,,,pending_validated_smooth_false_alarm_model
10585749,K04563.01,010585749-01,CANDIDATE,CANDIDATE,54.333582,0.001271,-0.001271,1.7,0.27,-0.33,10.5,0.603,0.0053,0.9947,MODEL-INFERRED,PC,9.4641,False,False,,,pending_validated_smooth_false_alarm_model
9838468,K02943.01,009838468-01,CONFIRMED,CANDIDATE,54.4099612,0.0005548,-0.0005548,1.56,0.24,-0.24,20.8,0.948,0.011,0.989,MODEL-INFERRED,PC,14.6651,False,False,,,pending_validated_smooth_false_alarm_model
3217264,K00401.03,003217264-03,CONFIRMED,CANDIDATE,55.3291399,0.0005174,-0.0005174,1.67,0.19,-0.13,21.8,0.997,0.0072,0.9928,MODEL-INFERRED,PC,16.5177,False,False,,,pending_validated_smooth_false_alarm_model
4450844,K03168.01,004450844-01,CANDIDATE,CANDIDATE,56.3479517,0.0009519,-0.0009519,1.06,0.04,-0.04,15.1,0.999,0.11,0.89,MODEL-INFERRED,PC,9.1668,False,False,,,pending_validated_smooth_false_alarm_model
8349399,K04763.01,008349399-01,CANDIDATE,CANDIDATE,56.446465,0.001205,-0.001205,1.57,0.46,-0.28,12.4,0.903,0.0043,0.9957,MODEL-INFERRED,PC,8.8675,False,False,,,pending_validated_smooth_false_alarm_model
7663405,K01519.02,007663405-02,CANDIDATE,CANDIDATE,57.132855,0.001069,-0.001069,1.81,0.13,-0.17,11,0.742,0.12,0.88,MODEL-INFERRED,PC,8.4943,False,False,,,pending_validated_smooth_false_alarm_model
5942949,K02525.01,005942949-01,CONFIRMED,CANDIDATE,57.2932309,0.0005315,-0.0005315,1.95,0.14,-0.18,15.7,0.833,0.0013,0.9987,MODEL-INFERRED,PC,11.2588,False,False,,,pending_validated_smooth_false_alarm_model
12785320,K00298.02,012785320-02,CANDIDATE,CANDIDATE,57.3840375,0.0003638,-0.0003638,1.62,0.1,-0.11,22.9,0.915,0.013,0.987,MODEL-INFERRED,PC,17.3706,False,False,,,pending_validated_smooth_false_alarm_model
11360805,K02422.02,011360805-02,CANDIDATE,CANDIDATE,57.3888262,0.0005823,-0.0005823,1.88,0.14,-0.1,11.9,0.852,0.017,0.983,MODEL-INFERRED,PC,7.9999,False,False,,,pending_validated_smooth_false_alarm_model
10933306,K05842.01,010933306-01,CANDIDATE,CANDIDATE,57.7749373,0.0009835,-0.0009835,1.85,0.59,-0.2,10.4,0.995,0.018,0.982,MODEL-INFERRED,PC,8.859,False,False,,,pending_validated_smooth_false_alarm_model
11125797,K03371.01,011125797-01,CANDIDATE,CANDIDATE,58.1263775,0.0005845,-0.0005845,1.32,0.17,-0.04,13.8,0.998,0.0044,0.9956,MODEL-INFERRED,PC,10.819,False,False,,,pending_validated_smooth_false_alarm_model
10467714,K04480.01,010467714-01,CANDIDATE,CANDIDATE,58.7488629,0.0004987,-0.0004987,1.75,0.33,-0.23,13.6,1,0.013,0.987,MODEL-INFERRED,PC,11.5944,False,False,,,pending_validated_smooth_false_alarm_model
9071593,K02257.02,009071593-02,CONFIRMED,CANDIDATE,59.284064,0.0006992,-0.0006992,1.81,0.13,-0.11,13.1,0.514,0.0021,0.9979,MODEL-INFERRED,PC,10.6643,False,False,,,pending_validated_smooth_false_alarm_model
2577353,K07635.01,002577353-01,CANDIDATE,CANDIDATE,60.458443,0.0018,-0.0018,1.59,0.46,-0.31,9.7,0.872,0.11,0.89,MODEL-INFERRED,PC,8.2247,False,False,,,pending_validated_smooth_false_alarm_model
4844470,K03469.01,004844470-01,CANDIDATE,CANDIDATE,60.532988,0.0004557,-0.0004557,1.91,0.53,-0.17,23.8,0.955,0.0082,0.9918,MODEL-INFERRED,PC,12.7107,False,False,,,pending_validated_smooth_false_alarm_model
3223433,K04548.01,003223433-01,CANDIDATE,CANDIDATE,61.083322,0.001918,-0.001918,1.61,0.26,-0.11,11.5,1,0.019,0.981,MODEL-INFERRED,PC,10.0898,False,False,,,pending_validated_smooth_false_alarm_model
4141593,K07685.01,004141593-01,CANDIDATE,CANDIDATE,64.740274,0.001485,-0.001485,1.35,0.39,-0.31,16.4,0.651,0.00054,0.99946,MODEL-INFERRED,PC,8.6662,False,False,,,pending_validated_smooth_false_alarm_model
11922778,K03408.01,011922778-01,CANDIDATE,CANDIDATE,65.427645,0.001087,-0.001087,1.65,0.52,-0.17,15.6,0.864,0.0067,0.9933,MODEL-INFERRED,PC,13.706,False,False,,,pending_validated_smooth_false_alarm_model
3646449,K04999.01,003646449-01,CANDIDATE,CANDIDATE,65.752109,0.001934,-0.001934,2,0.29,-0.14,9.9,0.979,0.016,0.984,MODEL-INFERRED,PC,9.0277,False,False,,,pending_validated_smooth_false_alarm_model
11444514,K04371.01,011444514-01,CONFIRMED,CANDIDATE,66.373298,0.0007009,-0.0007009,1.99,0.64,-0.21,13.7,0.997,0.0013,0.9987,MODEL-INFERRED,PC,9.9445,False,False,,,pending_validated_smooth_false_alarm_model
