kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_prad,observed_tce_mes,koi_score,fpp_prob,astrophysical_planet_probability,false_alarm_reliability_p025,false_alarm_reliability_p50,false_alarm_reliability_p975,total_candidate_reliability_p025,total_candidate_reliability_p50,total_candidate_reliability_p975,published_comparison_box,robovetter_score_is_candidate_reliability,reliability_status,false_alarm_reliability_label,total_candidate_reliability_label
6584273,K03287.01,006584273-01,CONFIRMED,CANDIDATE,51.1104797,1.6,19.6583,0.949,8.3e-05,0.999917,0.9874746489,0.9996560059,0.9999907328,0.9873926885,0.9995730345,0.9999077336,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
8037145,K00520.04,008037145-04,CONFIRMED,CANDIDATE,51.1658019,1.51,10.1711,0.905,0.0048,0.9952,0.9098143432,0.9823031167,0.9968453603,0.9054472344,0.9775880617,0.9920605025,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
4277304,K04774.01,004277304-01,CANDIDATE,CANDIDATE,51.567801,1.3,10.004,0.986,0.012,0.988,0.9008725981,0.9797046287,0.996245782,0.8900621269,0.9679481732,0.9842908326,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
5213230,K03474.01,005213230-01,CONFIRMED,CANDIDATE,52.6095103,1.83,12.5319,0.978,0.0008,0.9992,0.9695386734,0.9957822236,0.999434245,0.9687630424,0.9949855978,0.9986346976,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
6264750,K04715.01,006264750-01,CANDIDATE,CANDIDATE,53.285584,1.44,8.8568,0.844,0.0017,0.9983,0.8033394589,0.9494187607,0.9891515567,0.8019737818,0.9478047488,0.987469999,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
4587135,K04680.01,004587135-01,CANDIDATE,CANDIDATE,54.0812235,1.54,10.3345,0.767,0.067,0.933,0.9169272815,0.9817811678,0.9963148322,0.8554931536,0.9160018295,0.9295617385,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
10585749,K04563.01,010585749-01,CANDIDATE,CANDIDATE,54.333582,1.7,9.4641,0.603,0.0053,0.9947,0.8642016366,0.9658643778,0.9924992094,0.8596213679,0.9607452966,0.9872389636,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
9838468,K02943.01,009838468-01,CONFIRMED,CANDIDATE,54.4099612,1.56,14.6651,0.948,0.011,0.989,0.9840926642,0.9984183914,0.9998481143,0.9732676449,0.9874357891,0.9888497851,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
3217264,K00401.03,003217264-03,CONFIRMED,CANDIDATE,55.3291399,1.67,16.5177,0.997,0.0072,0.9928,0.9881048369,0.9991562302,0.9999429226,0.9809904821,0.9919623053,0.9927433336,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
4450844,K03168.01,004450844-01,CANDIDATE,CANDIDATE,56.3479517,1.06,9.1668,0.999,0.11,0.89,0.8375730277,0.9538754999,0.9886640297,0.7454399947,0.8489491949,0.8799109865,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
