radius_lower_earth,radius_upper_earth,period_lower_days,period_upper_days,n_injected,n_recovered,n_vetted_pc,n_recovery_code_2,label,pipeline_mean,pipeline_lower,pipeline_upper,pipeline_and_vetting_mean,pipeline_and_vetting_lower,pipeline_and_vetting_upper,vetting_given_recovered_mean,vetting_given_recovered_lower,vetting_given_recovered_upper
0.5,0.75,0.5,2,105,25,25,0,SIMULATED,0.2405660377,0.1644729815,0.3259264978,0.2405660377,0.1644729815,0.3259264978,0.9807692308,0.9053172359,0.9999805542
0.5,0.75,2,5,142,31,30,0,SIMULATED,0.2202797203,0.1564687706,0.2914972689,0.2132867133,0.1503566606,0.2838079871,0.953125,0.8589620059,0.9964970816
0.5,0.75,5,10,133,30,29,0,SIMULATED,0.2276119403,0.1609214016,0.3019995885,0.2201492537,0.1544016633,0.2938042332,0.9516129032,0.8545822226,0.9963795356
0.5,0.75,10,20,161,27,27,0,SIMULATED,0.1697530864,0.1161491082,0.2310720198,0.1697530864,0.1161491082,0.2310720198,0.9821428571,0.9119491685,0.9999819813
0.5,0.75,20,50,192,33,31,0,SIMULATED,0.1735751295,0.1236103244,0.2299422356,0.1632124352,0.1146462089,0.2183833204,0.9264705882,0.8194907661,0.9871926854
0.5,0.75,50,100,117,24,23,0,SIMULATED,0.2076271186,0.1396838505,0.2849493506,0.1991525424,0.1324729389,0.2754817876,0.94,0.8213050812,0.9954668099
0.5,0.75,100,200,93,12,11,0,SIMULATED,0.1329787234,0.07251606564,0.2081859559,0.1223404255,0.06449706245,0.1953477242,0.8846153846,0.6715042736,0.9908556738
0.5,0.75,200,300,47,4,4,0,SIMULATED,0.09375,0.02941192658,0.1897572692,0.09375,0.02941192658,0.1897572692,0.9,0.5552373823,0.9998846672
0.5,0.75,300,400,26,1,1,0,SIMULATED,0.05555555556,0.004181774945,0.1660345583,0.05555555556,0.004181774945,0.1660345583,0.75,0.1467463163,0.999614419
0.5,0.75,400,500,13,0,0,0,SIMULATED,0.03571428571,3.70519333e-05,0.1726194453,0.03571428571,3.70519333e-05,0.1726194453,,,
0.75,1,0.5,2,81,38,36,0,SIMULATED,0.4695121951,0.3631347579,0.5772990582,0.4451219512,0.3397605361,0.5530202544,0.9358974359,0.8417053041,0.9889028613
0.75,1,2,5,181,63,60,0,SIMULATED,0.3489010989,0.2815127085,0.4194352716,0.3324175824,0.266006078,0.4023178988,0.9453125,0.8783568538,0.9864080662
0.75,1,5,10,271,81,80,0,SIMULATED,0.2996323529,0.246742907,0.3553126619,0.2959558824,0.2432852627,0.3514685476,0.9817073171,0.9437573609,0.9986646875
0.75,1,10,20,433,127,119,2,SIMULATED,0.2937788018,0.251902848,0.3374549567,0.2753456221,0.2343784713,0.3182738228,0.93359375,0.8846698445,0.9697715565
0.75,1,20,50,807,133,126,1,SIMULATED,0.1652227723,0.1404317474,0.1915831815,0.1565594059,0.1323402365,0.1823885257,0.9440298507,0.8994550273,0.9761528764
0.75,1,50,100,706,110,101,1,SIMULATED,0.1562942008,0.1304862464,0.183943451,0.1435643564,0.1187112786,0.1703268184,0.9144144144,0.8560189279,0.9587440331
0.75,1,100,200,659,88,76,1,SIMULATED,0.1340909091,0.1091882013,0.1610931716,0.1159090909,0.09263365285,0.1413881312,0.8595505618,0.780605562,0.9232374973
