draw,estimand,unsupported_reliability_scenario,integrated_rate,alpha,beta,imputed_valid_candidate_count,shape_weighted_effective_stars,label,gamma_earth_per_dlnp_dlnr,full_model_projected_hsu_box_rate,full_model_projected_bryson_earth_box_rate
0,full_fixed_box,lower,0.660948250169,0.3,-0.75,58,74.8128565797,MODEL-INFERRED,0.249570542227,0.123016038928,0.0415938485121
1,full_fixed_box,lower,0.452313850126,0,-0.15,57,120.341067645,MODEL-INFERRED,0.141444659595,0.0725819927248,0.0233286776118
2,full_fixed_box,lower,3.10560647871,0.9,-2.55,47,15.8379530091,MODEL-INFERRED,1.08105333077,0.527985385975,0.193180165354
3,full_fixed_box,lower,2.36509512977,0.75,-2.25,62,22.8737508514,MODEL-INFERRED,0.843641010712,0.409269001189,0.148590469839
4,full_fixed_box,lower,0.668230998557,0.3,-0.3,50,90.6525319188,MODEL-INFERRED,0.261948279194,0.131339697721,0.0431179346549
5,full_fixed_box,lower,0.685147382406,0.3,-0.45,57,87.2872052088,MODEL-INFERRED,0.26618206779,0.132586638291,0.0439830558906
6,full_fixed_box,lower,0.496326620357,0,-0.45,58,103.361962157,MODEL-INFERRED,0.152994884925,0.0774122862305,0.0254199750223
7,full_fixed_box,lower,0.783450498501,0.75,-0.3,52,70.8320579468,MODEL-INFERRED,0.404431009238,0.199616699202,0.0661762700824
8,full_fixed_box,lower,1.02840829508,0,-2.1,57,40.9572378659,MODEL-INFERRED,0.231367867912,0.115388338815,0.0409134780195
9,full_fixed_box,lower,0.193905669142,-0.3,1.2,51,232.788647938,MODEL-INFERRED,0.0413867556929,0.0241274136073,0.00675046418781
10,full_fixed_box,lower,2.42970379876,0.9,-2.4,46,17.712401583,MODEL-INFERRED,0.88941603031,0.432072894023,0.157658738251
11,full_fixed_box,lower,1.11760975978,0.15,-1.65,57,47.9187244471,MODEL-INFERRED,0.320436971303,0.157474077589,0.0553455126307
12,full_fixed_box,lower,0.494394805009,0.3,-0.3,56,92.1455428797,MODEL-INFERRED,0.193804041857,0.0971724813497,0.0319010685558
13,full_fixed_box,lower,0.988978843094,0.6,-0.6,60,65.6474338436,MODEL-INFERRED,0.460081124966,0.225259558756,0.0760120248514
14,full_fixed_box,lower,1.25772452893,0.6,-1.65,50,36.1830795332,MODEL-INFERRED,0.488447747013,0.235560979758,0.083786192494
15,full_fixed_box,lower,0.713687625868,-0.15,-1.8,47,51.4850799348,MODEL-INFERRED,0.153246581616,0.0767600862595,0.0268069047798
16,full_fixed_box,lower,0.768834573551,0.6,-0.3,59,76.497627083,MODEL-INFERRED,0.365429022035,0.181126310279,0.0598947647265
17,full_fixed_box,lower,0.868714883111,0.15,-1.35,52,59.5072612775,MODEL-INFERRED,0.266419548256,0.13092406513,0.0454554157549
18,full_fixed_box,lower,1.09507552832,0.15,-1.5,52,52.2970585913,MODEL-INFERRED,0.32520191859,0.159745103978,0.0558170726677
19,full_fixed_box,lower,0.299293284966,-0.3,-0.15,52,140.525331318,MODEL-INFERRED,0.0713767811338,0.0373616375929,0.0118518883936
20,full_fixed_box,lower,0.671866730943,0.3,-1.05,53,65.0547890634,MODEL-INFERRED,0.243226890639,0.119061387991,0.0409363868738
21,full_fixed_box,lower,0.988379866908,0.3,-1.5,50,45.3281994802,MODEL-INFERRED,0.327892787342,0.159892121622,0.0561328304151
22,full_fixed_box,lower,0.691113490528,0.3,-0.6,57,82.9815732049,MODEL-INFERRED,0.265164625808,0.13133072971,0.0439966940483
23,full_fixed_box,lower,0.487321072716,0.15,-0.6,51,87.5856792414,MODEL-INFERRED,0.167371866657,0.0835050010742,0.0278429852059
24,full_fixed_box,lower,0.300983590312,-0.15,0.6,47,175.072421408,MODEL-INFERRED,0.0804125844553,0.0438293343615,0.0131334677595
25,full_fixed_box,lower,1.23349703362,0.15,-1.8,59,43.229808819,MODEL-INFERRED,0.340491915248,0.167545260809,0.0591974998716
26,full_fixed_box,lower,1.4680547042,0.75,-1.8,57,30.2139320396,MODEL-INFERRED,0.596147650062,0.28666316034,0.102763042977
27,full_fixed_box,lower,2.47420582857,0.6,-2.25,56,25.2457249404,MODEL-INFERRED,0.812609958135,0.395876197549,0.143365086907
28,full_fixed_box,lower,0.906934505251,0.9,-0.6,58,55.864233667,MODEL-INFERRED,0.493410358225,0.239801380683,0.0812705914739
29,full_fixed_box,lower,0.874585656398,0.75,-0.9,53,52.444126681,MODEL-INFERRED,0.426528843953,0.206154300062,0.0710009572681
30,full_fixed_box,lower,1.71981724428,0.3,-1.95,51,36.0090210083,MODEL-INFERRED,0.509201817957,0.249262797392,0.0889088043304
31,full_fixed_box,lower,0.56416964165,0.75,0.15,53,88.8054547192,MODEL-INFERRED,0.292809919433,0.148204345808,0.0474519290323
32,full_fixed_box,lower,0.755308108814,-0.15,-1.2,50,74.1387589258,MODEL-INFERRED,0.185516329096,0.092919837527,0.0316663845031
33,full_fixed_box,lower,0.436621516436,-0.45,-0.9,52,106.142310905,MODEL-INFERRED,0.0842045466962,0.0433350117515,0.01432909423
34,full_fixed_box,lower,0.295782988741,-0.3,0.45,57,179.760282589,MODEL-INFERRED,0.069533782122,0.0378420000545,0.0114193962532
35,full_fixed_box,lower,0.839008819155,0.75,-0.6,49,59.9454381587,MODEL-INFERRED,0.423912962299,0.206680463731,0.0699192227834
36,full_fixed_box,lower,0.260456742652,0,0.6,53,160.848821194,MODEL-INFERRED,0.0792896264192,0.0428125083326,0.0129084819409
37,full_fixed_box,lower,0.330820577134,0,0.75,54,175.411263194,MODEL-INFERRED,0.0991135269979,0.0542097939612,0.0161088204638
38,full_fixed_box,lower,0.737202589733,0.3,-0.3,57,88.7708156275,MODEL-INFERRED,0.288985321266,0.144895949909,0.0475683605821
39,full_fixed_box,lower,0.703419007697,0.6,-0.15,62,81.2705546792,MODEL-INFERRED,0.336145589108,0.167863306659,0.0549013228087
40,full_fixed_box,lower,0.570218568682,-0.15,-0.9,57,87.2765459152,MODEL-INFERRED,0.147047769844,0.0740336301303,0.0248397372248
41,full_fixed_box,lower,1.33990008907,0,-2.25,54,36.4183712112,MODEL-INFERRED,0.287973206186,0.144159513313,0.0513052158145
42,full_fixed_box,lower,1.34401208822,0.3,-1.8,53,39.675029602,MODEL-INFERRED,0.414448734407,0.20244959194,0.0718684865847
