pl_name,spec_type,authors,reference_url,num_datapoints,instrument,facility,minwavelng,maxwavelng,mintranmid,maxtranmid,note,bibcode,spec_path
Kepler-20 c,Transmission,D&eacute;sert et al. 2015,,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,,2015ApJ...804...59D,56/12/36/06/Kepler_20_c_3.101_3665_1.tbl
55 Cnc e,Transmission,de Mooij et al. 2014,,8,ALFOSC,Nordic Optical Telescope,0.4735,0.656,,,,2014ApJ...797L..21D,78/51/78/87/55_Cnc_e_3.10924_3673_1.tbl
55 Cnc e,Transmission,Tsiaras et al. 2016,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6376,,,,2016ApJ...820...99T,18/43/09/97/55_Cnc_e_3.10924_3750_1.tbl
CoRoT-1 b,Eclipse,Gillon et al. 2009,,1,High Acuity Wide-field K-band Imager (HAWK-I),European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2.095,2.095,,,Table 1,2009A&A...506..359G,52/88/66/83/CoRoT_1_b_3.10951_2058_1.tbl
CoRoT-1 b,Transmission,Schlawin et al. 2014,,10,SpeX and MORIS,Infrared Telescope Facility,0.86,2.312,,,,2014ApJ...783....5S,30/21/22/41/CoRoT_1_b_3.10951_3421_1.tbl
CoRoT-2 b,Eclipse,Gillon et al. 2010,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,8.0,,,Table 1,2010A&A...511A...3G,66/17/12/99/CoRoT_2_b_3.10954_3283_1.tbl
CoRoT-2 b,Eclipse,Deming et al. 2011,,3,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1,2011ApJ...726...95D,28/54/10/44/CoRoT_2_b_3.10954_4094_1.tbl
GJ 1214 b,Transmission,Gillon et al. 2014,,1,TRAPPISTCam,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,0.838,0.838,,,,2014A&A...563A..21G,26/12/47/25/GJ_1214_b_3.10969_3420_2.tbl
GJ 1214 b,Transmission,Berta et al. 2012,,24,WFC3,Hubble Space Telescope satellite,1.123,1.656,,,,2012ApJ...747...35B,59/51/90/62/GJ_1214_b_3.10969_3608_1.tbl
GJ 1214 b,Transmission,de Mooij et al. 2012,,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.46,0.9,2455380.59013,2455380.59049,,2012A&A...538A..46D,99/48/40/82/GJ_1214_b_3.10969_3663_1.tbl
GJ 1214 b,Transmission,de Mooij et al. 2013,,1,WFC,Isaac Newton Group's Isaac Newton Telescope,0.4962,0.4962,,,,2013ApJ...771..109D,09/67/50/85/GJ_1214_b_3.10969_3698_1.tbl
GJ 1214 b,Transmission,de Mooij et al. 2013,,1,ACAM,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,0.4996,0.4996,,,,2013ApJ...771..109D,08/04/20/19/GJ_1214_b_3.10969_3698_3.tbl
GJ 1214 b,Eclipse,Kempton et al. 2023,,14,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.25,11.75,,,,2023Natur.620...67K,33/68/66/96/GJ_1214_b_3.10969_5145_1.tbl
GJ 436 b,Eclipse,Stevenson et al. 2010,,5,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,24.0,,,Table 1,2010Natur.464.1161S,32/89/47/63/GJ_436_b_3.10974_4090_1.tbl
